#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x #noun - child - chaste gluttonous
PROVINCE_CROWN_FOCUS_DESC;$PROVINCE|Y$ is the current §YCrown Focus§! of $OWNER|Y$ and, as such, is more likely to prosper and develop;$PROVINCE|Y$ est l'§Yintérêt de la Couronne§! de $OWNER|Y$ et est ainsi plus enclin à prospérer et à se développer.;Der aktuelle §YKronenfokus§! von $OWNER|Y$ liegt auf $PROVINCE|Y$ und wird für Wachstum und Reichtum sorgen;;$PROVINCE|Y$ es el actual §YFoco de Corona§! de $OWNER|Y$ y como tal, es más probable que prospere y se desarrolle;;;;;;;;;x
PROVINCE_MAKE_CROWN_FOCUS_TOOLTIP;§YMake Crown Focus§!;§YÉtablir comme intérêt de la Couronne§!;§YKronenfokus festlegen§!;;§YHacer Foco de Corona§!;;;;;;;;;x
PROVINCE_MAKE_CROWN_FOCUS_DESC;You can make $PROVINCE|Y$ your §YCrown Focus§! to make it more likely to prosper and develop:;Vous pouvez faire de $PROVINCE|Y$ l'§Yintérêt de la Couronne§! afin de rendre le comté plus enclin à prospérer et à se développer.;Macht $PROVINCE|Y$ zu Eurem §YKronenfokus§!, damit die Provinz wächst und gedeiht:;;Conviertes $PROVINCE|Y$ en tu §YFoco de Corona§! para que sea más probable que prospere y se desarrolle:;;;;;;;;;x
HOSPITAL_BUILDINGS_MODIFIERS;From Infrastructure buildings: $VALUE$;Des hôpitaux: $VALUE$;Von Krankenhaus-Gebäuden: $VALUE$;;Por Edificios del Hospital: $VALUE$;;;;;;;;;x
move_crown_focus_named;Set Crown Focus in [Root.GetName];Établir l'intérêt de la Couronne à [Root.GetName];Kronenfokus in [Root.GetName] festlegen;;Situar Foco de Corona en [Root.GetName];;;;;;;;;x
AIREASON_DEFENSIVE_PACT;In a §YDefensive Pact§! together;Ensemble dans un §Ypacte défensif§!;Zusammen in einem §YVerteidigungspakt§!;;Juntos en un §YPacto defensivo§!;;;;;;;;;x
EVTDESC_SOA_2990;I can expel [holy_order_to_expel.GetName] to finally be rid of them from my realm! But I must be sure of this. Once expelled, I will not be able to allow them back.;Je peux expulser l'ordre sacré pour enfin en être débarrassé dans mon pays ! Cependant, je dois être certain[Root.Get_E] de mon choix. Une fois expulsé, je ne pourrai plus leur permettre de revenir.;Ich kann den Heiligen Orden aus meinem Reich verbannen, damit ich ihn endlich los bin! Doch ich muss sicher sein. Ein solcher Entschluss kann nicht rückgängig gemacht werden.;;¡Por fin puedo expulsar a la Orden Sagrada de mi reino para librarme de ellos! Pero debo estar seguro de esto. Una vez expulsados, no podré dejar que vuelvan.;;;;;;;;;x
EVTOPTA_SOA_2990;Drive them all out!;Chassez-les !;Raus mit ihnen!;;¡Expulsarlos a todos!;;;;;;;;;x
EVTOPTB_SOA_2990;I'll permit them to stay. For now.;Je les autorise à rester. Pour le moment.;Sie dürfen bleiben. Vorerst.;;Dejaré que se queden. Por ahora.;;;;;;;;;x
expelling_holy_order_decision_tooltip;Is NOT already considering to expel the Holy Order;N'envisage pas déjà d'expulser l'ordre sacré;Erwägt noch NICHT, den Heiligen Orden zu verbannen;;NO está considerando la posibilidad de expulsar a la Orden Sagrada;;;;;;;;;x
expelling_holy_order_decision_tooltip_b;Expel the Holy Order from the realm.;Expulse du pays l'ordre sacré.;Vertreibt den Heiligen Orden aus dem Reich.;;Expulsar a la Orden Sagrada del reino.;;;;;;;;;x
expelling_holy_order_event_tooltip_a;Expel the Holy Order and confiscate any land they have within the realm;Expulse l'ordre sacré et confisque toutes ses propriétés dans le pays;Vertreibt den Heiligen Orden und konfisziert alle Landbesitztümer des Ordens im Reich;;Expulsar a la Orden Sagrada y confiscar las tierras que tengan dentro del reino;;;;;;;;;x
expelling_holy_order_event_tooltip_b;Allow the Holy Order to remain within the realm;Permet à l'ordre sacré de rester dans le pays;Erlaubt dem Heiligen Orden, im Reich zu verbleiben;;Permitir que la Orden Sagrada permanezca dentro del reino;;;;;;;;;x
marshal_improves_capital;Military Innovations;Innovations militaires;Militärische Innovationen;;Innovaciones militares;;;;;;;;;x
intelligent_steward;Economic Innovations;Innovations économiques;Wirtschaftliche Innovationen;;Innovaciones económicas;;;;;;;;;x
eunuch_gift_tooltip;A eunuch named §Y[eunuch_gift.GetFullName]§! arrives at your court;Un eunuque nommé §Y[eunuch_gift.GetFullName]§! arrive à votre Cour;Ein Eunuch namens §Y[eunuch_gift.GetFullName]§! trifft an Eurem Hof ein;;Un eunuco llamado §Y[eunuch_gift.GetFullName]§! llega a la corte;;;;;;;;;x
DEATH_MISSING;vanished without a trace;a disparu sans laisser de trace;ist spurlos verschwunden;;desapareció sin dejar rastro;;;;;;;;;x
BUILD_HOSPITAL_DESC;Infrastructure can be built in any county you control for a cost of §Y$COST$§!¤. Hospitals are constructed to increase the §YDisease Resistance§! of a county, which reduces the chance of epidemic outbreaks to occur in and spread into the county. It will also provide some protection against §YDepopulation§!.;Un hôpital peut être établi dans tout comté sous votre contrôle pour un coût de §Y$COST$§!¤. Il y augmente la §Yrésistance à la maladie§!, ce qui réduit la probabilité qu'une épidémie s'y déclenche ou s'y répande. Il fournit aussi une certaine protection contre la §Ydépopulation§!.;Hospitäler können in allen Grafschaften unter Eurer Kontrolle zum Preis von §Y$COST$§!¤ gebaut werden. Sie verbessern den §YKrankheitswiderstand§! einer Grafschaft und reduzieren so die Chance von Ausbruch oder Verbreitung von Epidemien in der Grafschaft und geben einigen Schutz vor §YBevölkerungsverlust§!.;;Se pueden construir Hospitales en cualquier condado que controles a un coste de §Y$COST$§!¤. Los hospitales se construyen para aumentar la §YResistencia a las Enfermedades§! de un condado, reduciendo la posibilidad de que ocurran brotes epidémicos en el condado y se extiendan por él. También proporcionará una cierta protección contra la §YDespoblación§!.;;;;;;;;;x
EVTDESC_77860;Your precious cat has the ability of always knowing when you are in need of comfort. Appearing as if out of nowhere only to jump up on your lap and purr softly to your gentle stroking.;Votre précieux chat a la capacité de toujours savoir quand vous avez besoin de réconfort. Il apparaît soudainement pour venir sauter sur vos genoux et ronronner à vos caresses.;Eure kostbare Katze hat ein Gespür dafür, wann Ihr Trost braucht. Wie aus dem Nichts springt sie in Euren Schoß und schnurrt leise zu Euren sanften Liebkosungen.;;Tu querido gato tiene la capacidad de saber siempre cuando necesitas consuelo. Aparece como de ninguna parte sólo para saltar a tu regazo y ronronear suavemente a tus suaves caricias.;;;;;;;;;x
EVTOPTA_77860;What greater gift than the love of a cat?;Quel plus grand présent que l'affection d'un chat ?;Gibt es was Besseres als die Liebe einer Katze?;;¿Qué mayor regalo hay que el amor de un gato?;;;;;;;;;x
EVTDESC_RIP_5051;Being at sea for a long time has made me feel ill. And it is not a matter of being seasick mind you. I feel very tired, have constant pain in my legs and whenever I wake up, my joints ache all over.;Être en mer pendant une longue période m'a rendu[Root.Get_E] malade. Et ce n'est pas une question d'avoir le mal de mer. Je me sens très fatigué[Root.Get_E], avec une douleur constante dans mes jambes, et, à chaque fois que je me réveille, mes articulations me font mal.;Die lange Zeit auf See ließ mich krank werden. Und es geht hier nicht um Seekrankheit. Ich bin sehr müde, meine Beine schmerzen stetig und beim Aufwachen schmerzen alle Gelenke.;;Llevar mucho tiempo en el mar hace que me sienta enfermo. Y no es cuestión de mareo. Me siento muy cansado, las piernas me duelen constantemente y cuando me despierto, me duelen las articulaciones por todas partes;;;;;;;;;x
EVTOPTA_RIP_5051;Maybe we should head back to port...;Peut-être devrions-nous rentrer au port...;Vielleicht sollten wir in den Hafen zurückkehren ...;;Quizás deberíamos regresar a puerto…;;;;;;;;;x
EVTDESC_RIP_5054;After being examined by my physician [From.GetFirstName], [From.GetSheHe] told me to take it easy during the coming weeks. I am also instructed to eat a special diet consisting mostly of fruit and vegetables in order to cure my Scurvy.;Après avoir été examiné[Root.Get_E] par mon physicien [From.GetFirstName], [From.GetIlElle] m'a dit de ne pas m'inquiéter durant les semaines à venir. J'ai aussi comme instruction de suivre un régime particulier composé principalement de fruits et de légumes afin de soigner mon scorbut.;Nachdem mein Arzt [From.GetFirstName] mich untersucht hat, empfahl [From.GetSheHe] mir, es in den nächsten Wochen ruhig angehen zu lassen. Zudem soll ich eine leichte Diät aus Früchten und Gemüse zu mir nehmen, um den Skorbut zu heilen.;;Después de ser examinado por mi médico [From.GetFirstName], dijo que me tomase las cosas con calma durante las próximas semanas. También me ha mandado una dieta especial que consiste principalmente en frutas y verduras para curarme del escorbuto.;;;;;;;;;x
EVTOPTA_RIP_5054;If you say so.;Si vous le dites.;Wenn Ihr meint.;;Si tú lo dices.;;;;;;;;;x
EVTDESC_RIP_5055;After eating plenty of different fruit and vegetables, I finally feel well. The pain is gone and I am in a much better state! I am sure to avoid scurvy if I eat an orange.;Après avoir mangé en abondance différents fruits et légumes, les douleurs ont finalement disparu et je me sens bien. Je suis certain[Root.Get_E] d'éviter le scorbut si je bois du jus d'orange.;Nach einer Diät aus Früchten und Gemüse geht es mir endlich besser. Der Schmerz ist weg! Skorbut lässt sich gut mit Orangen vermeiden.;;Después de comer muchas verduras y frutas diferentes, finalmente me siento bien. ¡El dolor se ha ido y estoy en un estado mucho mejor! Si como naranjas, puedo evitar el escorbuto.;;;;;;;;;x
EVTOPTA_RIP_5055;Er... door hinge?;Euh... Dors ange ?;Was ... Türangel?;;Esto… ¿las bisagras?;;;;;;;;;x
scurvy;Scurvy;Scorbut;Skorbut;;Escorbuto.;;;;;;;;;x
scurvy_desc;This character has scurvy - fatigue, bleeding, spots on the skin, and if left untreated may cause loss of teeth, fever and eventually death.;Ce personnage a le scorbut, à savoir de la fatigue, des saignements et des taches sur la peau. Rester sans traitement causerait la perte de dents, de la fièvre et enfin la mort.;Dieser Charakter hat Skorbut - Müdigkeit, Blutungen, Hautflecken, und wenn keine Behandlung erfolgt, drohen Zahnausfall, Fieber und sogar der Tod.;;Este personaje tiene escorbuto. Fatiga, hemorragias, manchas en la piel y si no se trata puede causar la pérdida de los dientes, fiebre y finalmente la muerte.;;;;;;;;;x
scurvy_death;of Scurvy;du scorbut;von Skorbut;;de escorbuto;;;;;;;;;x
EVTDESC_RIP_4501;Pilgrims pass through the hospital in [pilgrim_physician_hospital.GetName] all the time. But word has reached you that one of them has stayed at the hospital for several days. Tending to the sick and wounded and assisting anyone who is in need of help. They say that [pilgrim_physician.GetSheHe] is a very skilled physician and might be of good use.;Des pèlerins passent régulièrement par l'hôpital de [pilgrim_physician_hospital.GetName]. Cependant, vous apprenez que l'un d'entre eux y a séjourné pendant plusieurs jours et s'est occupé des malades et des blessés et a prêté main forte à toute personne ayant besoin d'aide. Il s'agirait d'un physicien très qualifié et qui pourrait donc vous être utile.;Pilger besuchen das Hospital in [pilgrim_physician_hospital.GetName] zu allen Zeiten. Ihr habt erfahren, dass einer mehrere Tage dort verbrachte, und den Kranken, Verwundeten und Hilfesuchenden beistand. Es heißt, [pilgrim_physician.GetSheHe] sei ein sehr erfahrener Arzt und könnte von großem Nutzen sein.;;Peregrinos pasan por el hospital de [pilgrim_physician_hospital.Location.GetName] todo el tiempo. Pero te ha llegado la historia de uno de ellos que se ha quedado varios días en el hospital. Atendiendo a los enfermos y heridos y ayudando a quien necesita ayuda. Dicen que es un[pilgrim_physician.GetXA] médico muy hábil y podría serme útil.;;;;;;;;;x
EVTOPTA_RIP_4501;Bring this [pilgrim_physician.GetManWoman] before me.;Amenez-moi cette personne.;Bringt diese[pilgrim_physician.GetnMale] [pilgrim_physician.GetManWoman] her.;;Traedme a tal [pilgrim_physician.GetManWoman].;;;;;;;;;x
EVTOPTB_RIP_4501_A;I have no need of [pilgrim_physician.GetHerHis] service.;Je n'ai pas besoin de ses services.;Ich brauche seinen/ihren Ratschlag nicht.;;No tengo necesidad de sus servicios.;;;;;;;;x
EVTOPTB_RIP_4501_B;I have a physician already.;J'ai déjà un physicien.;Ich habe bereits einen Arzt.;;Ya tengo un médico.;;;;;;;;x
EVTDESC_RIP_4504;The hospital in [hospital_location.GetName] has seen an increase in the amount of people looking for food and shelter lately. It can barely provide the food required as it is. Perhaps this could be a good opportunity to make an impression?;De plus en plus de personnes cherchant un toit et un couvert se rendent à l'hôpital de [hospital_location.GetName]. Il peut à peine fournir la nourriture nécessaire en l'état actuel des choses. Peut-être serait-ce l'occasion de faire bonne impression ?;Das Hospital in [hospital_location.GetName] erlebt einen Ansturm von Menschen, die Nahrung und Obdach suchen. Es kann schon jetzt kaum noch mithalten. Vielleicht ist die Gelegenheit günstig, einen guten Eindruck zu machen?;;Últimamente el hospital de [hospital_location.GetName] ha visto un aumento en la cantidad de gente que busca de alimento y refugio. En su estado apenas puede proporcionar los alimentos necesarios. ¿Podría ser esta una buena oportunidad de causar una impresión?;;;;;;;;;x
EVTOPTA_RIP_4504;I shall make preparations at once.;Je vais faire les préparatifs immédiatement.;Ich werde alles vorbereiten.;;Haré los preparativos inmediatamente.;;;;;;;;;x
EVTOPTB_RIP_4504;My money is better spent elsewhere.;Mon argent est plus utile ailleurs.;Mein Geld ist anderweitig besser angelegt.;;Mi dinero está mejor gastado en otros lugares.;;;;;;;;;x
EVTOPTA_RIP_4504_tooltip;Prepare food and supplies to be handed out as charity\n;Prépare de la nourriture et des fournitures pour une distribution par charité\n;Bereitet Nahrung und Versorgungsgüter als Almosen vor\n;;Prepara comida y provisiones para ser repartidas como obra benéfica\n;;;;;;;;;x
EVTDESC_RIP_4505;Alms and other supplies have been brought to the hospital. It will make the life much easier for those in need. The question now is how to present this extraordinary gift?;L'aumône et d'autres fournitures ont été apportées à l'hôpital. Cela aidera les gens dans le besoin. La question maintenant est de savoir comment présenter ce cadeau extraordinaire.;Almosen und weitere Güter wurden ins Krankenhaus gebracht. Es wird das Leben der Bedürftigen erleichtern. Die Frage ist jetzt, wie sich diese Großzügigkeit am besten präsentieren lässt?;;Limosnas y otros suministros han sido llevados al hospital. Hará la vida mucho más fácil para aquellos que lo necesitan. Ahora la cuestión es cómo presentar este regalo extraordinario.;;;;;;;;;x
EVTOPTA_RIP_4505;It is a gift from their [Root.PrimaryTitle.GetRulerTitle]!;C'est un cadeau de la part de leur [Root.PrimaryTitle.GetRulerTitle] !;Dies ist ein Geschenk Ihrer Gnaden, [Root.PrimaryTitle.GetRulerTitle]!;;¡Es un regalo de vuestr[Root.GetOA] [Root.PrimaryTitle.GetRulerTitle]!;;;;;;;;;x
EVTOPTB_RIP_4505;[Root.Religion.GetHighGodNameCap] made it possible!;[Root.Religion.GetHighGodNameCap] a rendu cela possible !;[Root.Religion.GetHighGodNameCap] hat dies ermöglicht!;;¡[Root.Religion.GetHighGodNameCap] lo ha hecho posible!;;;;;;;;;x
EVTOPTC_RIP_4505;The realm provided this offering!;Le pays fournit cette aide !;Das Reich bot diese Gaben!;;¡El reino proporcionó este donativo!;;;;;;;;;x
EVTOPTD_RIP_4505;I am doing it for the people!;Je le fais pour le peuple !;Ich mache dies für das Volk!;;¡Lo hago por el pueblo!;;;;;;;;;x
EVTDESC_RIP_4512;The [religious_head_fee.PrimaryTitle.GetRulerTitle] has sent an emissary with a peculiar request. The emissary explains that the clergy has been very involved with the hospital in [hospital_location.GetName] as of late. As such, a fair compensation is expected to be payed.;[religious_head_fee.PrimaryTitle.Get_only_Le_Title][religious_head_fee.PrimaryTitle.GetRulerTitle] a envoyé un émissaire avec une requête particulière. Il explique que le clergé s'est beaucoup impliqué dans le fonctionnement de l'hôpital de [hospital_location.GetName] ces derniers temps. Ainsi, une juste compensation est attendue.;Ihre Durchlaucht, [religious_head_fee.PrimaryTitle.GetRulerTitle], sendet diese befremdliche Anfrage. Der Klerus hat sich in letzter Zeit sehr im Krankenhaus in [hospital_location.GetName] engagiert. Eine faire Kompensation ist mehr als angebracht.;;[religious_head_fee.GetElLa] [religious_head_fee.PrimaryTitle.GetRulerTitle] ha enviado un emisario con una peculiar petición. El emisario explica que últimamente el clero se ha involucrado mucho en el hospital de [hospital_location.GetName]. Por tanto, se espera que se les pague una compensación justa.;;;;;;;;;x
EVTOPTA_RIP_4512;If it is the will of [Root.Religion.GetRandomGodName].;Si telle est la volonté [Root.Get_du_HighGod].;Es ist der Wille von [Root.Religion.GetRandomGodName].;;Si tal la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTB_RIP_4512;I think not!;Certainement pas !;Mitnichten!;;¡Creo que no!;;;;;;;;;x
EVTDESC_RIP_4514;A leper named [homeless_leper.GetFirstName] arrived at court today. With the leper colony in [hospital_location.GetName] being crowded already, [homeless_leper.GetSheHe] has nowhere to go and now begs for your aid.;Un[homeless_leper.Get_E] lépreu[homeless_leper.GetXSe] s'appelant [homeless_leper.GetFirstName] a fait son apparition à la Cour aujourd'hui. La léproserie de [hospital_location.GetName] étant déjà surpeuplée, [homeless_leper.GetIlElle] n'a nulle part où aller et sollicite votre aide.;Ein Leprakranker namens [homeless_leper.GetFirstName] ist bei Hof erschienen. Die Leprakolonie in [hospital_location.GetName] ist bereits überfüllt. [homeless_leper.GetSheHeCap] findet kein Obdach und erbittet Eure Hilfe.;;Un leproso llamado [homeless_leper.GetFirstName] llegó hoy a la corte. Como la colonia de leprosos de [hospital_location.GetName] ya está llena, [homeless_leper.GetElElla] no tiene a dónde ir y ahora te pide ayuda.;;;;;;;;x
EVTOPTA_RIP_4514;You can stay here for now.;Vous pouvez rester ici pour le moment.;Bleibt vorerst hier.;;Se puede quedar aquí por el momento.;;;;;;;;x
EVTOPTB_RIP_4514;Get out before you infect someone!;Partez avant que vous n'infectiez quelqu'un !;Raus hier, bevor noch jemand angesteckt wird!;;¡Largo antes de que infectes a alguien!;;;;;;;;x
EVTOPTB_RIP_4514_tooltip;You send [homeless_leper.GetFirstName] away;Vous chassez [homeless_leper.GetFirstName];Ihr schickt [homeless_leper.GetFirstName] weg.;;Expulsas a [homeless_leper.GetFirstName] ;;;;;;;;x
EVTDESC_RIP_4520;The soup kitchen in [kitchen_hospital.GetName] burned down quite recently in an accident. Without it, many of the poor might starve.;La soupe populaire de [kitchen_hospital.GetName] n'existe plus à cause d'un incendie accidentel qui a endommagé le bâtiment concerné. Sans elle, de nombreux pauvres pourraient manquer de nourriture.;Die Suppenküche in [kitchen_hospital.GetName] brannte leider vor Kurzem nieder. Viele der Armen drohen deshalb zu verhungern.;;El comedor popular en [kitchen_hospital.Location.GetName] ardió hace bastante poco en un accidente. Sin ello, muchos pobres podrían morir de hambre.;;;;;;;;x
EVTOPTA_RIP_4520;I will pay for the repairs.;Je vais payer les réparations;Ich werde für die Reparaturkosten aufkommen.;;Pagaré la reparación.;;;;;;;;x
EVTOPTB_RIP_4520;They shall receive both money and food!;Ils recevront de l'argent et de la nourriture !;Sie sollen Geld und Nahrung erhalten!;;¡Recibirán tanto dinero como comida!;;;;;;;;x
EVTOPTC_RIP_4520;Pay only for the base materials.;Payer seulement pour les besoins essentiels;Bezahlt nur für die Grundmaterialien.;;Paga sólo las materias primas.;;;;;;;;x
EVTOPTD_RIP_4520;Who cares about the poor anyway?;Qui se soucie des pauvres de toute façon ?;Wer interessiert sich schon für die Armen?;;¿Y a quién le preocupan los pobres?;;;;;;;;x
EVTDESC_RIP_4530;Your physician [learning_physician.GetFirstName] has been asking for permission to travel to the hospital in [hospital_location.GetName] to study there for a time. [learning_physician.GetSheHeCap] will need some financing to cover the costs for the journey and for staying at the hospital.;Votre physicien [learning_physician.GetFirstName] demande la permission de se rendre à l'hôpital de [hospital_location.GetName] pour y faire des recherches pendant un certain temps. [learning_physician.GetIlElleCap] aura besoin d'un financement pour son voyage et son hébergement sur place.;[learning_physician.GetFirstName] bat Euch um Erlaubnis, zum Hospital in [hospital_location.GetName] zu reisen, um dort eine Zeit lang zu studieren. [learning_physician.GetSheHeCap] benötigt Geldmittel für die Reise und den Aufenthalt im Hospital.;;Tu médico [learning_physician.GetFirstName] te pide permiso para viajar al hospital de [hospital_location.GetName] a estudiar allí durante un tiempo. [learning_physician.GetElEllaCap] necesitará algunos fondos para cubrir los gastos del viaje y para permanecer en el hospital.;;;;;;;;;x
EVTOPTA_RIP_4530;Excellent suggestion!;Excellente suggestion !;Eine brillante Idee!;;¡Una sugerencia excelente!;;;;;;;;;x
EVTOPTB_RIP_4530;No. I have more need of you here.;Non. J'ai besoin de vous ici.;Nein. Ich benötige Euch hier dringender.;;No. Te necesito más aquí.;;;;;;;;;x
EVTDESC_RIP_4532;Your physician [learning_physician.GetFirstName] came back from [learning_physician.GetHerHis] stay at the hospital today. [learning_physician.GetSheHeCap] explained in great detail about various conditions and ailments and the remedies which to use for them. You did not understand half of it. But in short, [learning_physician.GetSheHe] seems to have learned a great deal.;Votre physicien [learning_physician.GetFirstName] est rentré de son séjour à l'hôpital aujourd'hui. [learning_physician.GetIlElleCap] a expliqué en détail les différents états et affections, ainsi que les remèdes à utiliser. Vous n'en avez pas compris la moitié. Cependant, pour faire court, [learning_physician.GetIlElle] a l'air d'avoir beaucoup appris.;[learning_physician.GetFirstName] ist heute vom Studium im Hospital zurückgekehrt. [learning_physician.GetSheHeCap] berichtet Euch ausführlich über unterschiedliche Krankheiten und die entsprechenden Behandlungsmethoden dafür. Ihr versteht noch nicht einmal die Hälfe davon, aber [learning_physician.GetSheHe] scheint dort jede Menge gelernt zu haben.;;Tu médico [learning_physician.GetFirstName] regresó hoy de su estancia en el hospital. [learning_physician.GetElEllaCap] explicado con grandes detalles las diferentes afecciones y dolencias y los remedios que se emplean contra ellas. No entendiste ni la mitad. Pero en resumen, [learning_physician.GetElElla] parece haber aprendido mucho.;;;;;;;;;x
EVTDESC_RIP_4533;Having stayed at the hospital in [hospital_location.GetName], your physician [learning_physician.GetFirstName] arrived back at court today. The visit was not as productive as [learning_physician.GetSheHe] would have wished, but was still able to learn a new thing or two.;Votre physicien [learning_physician.GetFirstName] est rentré de son séjour à l'hôpital de [hospital_location.GetName] aujourd'hui. La visite n'a pas été aussi productive qu'espéré, mais [learning_physician.GetIlElle] a quand même appris une ou deux choses.;Nach dem Studium im Hospital in [hospital_location.GetName] ist [learning_physician.GetFirstName] heute an Euren Hof zurückgekehrt. Der Besuch war leider nicht so ergiebig, wie [learning_physician.GetSheHe] es sich erhofft hatte, doch [learning_physician.GetSheHe] konnte immerhin etwas über die ein oder andere neue Behandlungsmethode lernen.;;Tras permanecer en el hospital en [hospital_location.GetName], tu médico [learning_physician.GetFirstName] regresó hoy a la corte. La visita no fue tan productiva como [learning_physician.GetElElla] hubiera deseado, pero todavía fue capaz de aprender una cosa nueva o dos.;;;;;;;;;x
EVTDESC_RIP_4534;You have received word that your physician [learning_physician.GetFirstName] came back earlier this morning. It would seem that [learning_physician.GetSheHe] spent much of the time outside the hospital. And as such, haven't learned anything [learning_physician.GetSheHe] didn't know already.;Vous venez d'apprendre que votre physicien [learning_physician.GetFirstName] est rentré tôt ce matin. Il semble qu'[learning_physician.GetIlElle] a passé beaucoup de temps hors de l'hôpital, et qu'[learning_physician.GetIlElle] n'a donc pas appris quoi que ce soit.;Ihr habt erfahren, dass [learning_physician.GetFirstName] heute früh zurückgekehrt ist. Offenbar verbrachte [learning_physician.GetSheHe] die meiste Zeit außerhalb des Hospitals und konnte daher nichts Neues lernen.;;Te informan que tu médico [learning_physician.GetFirstName] regresó esta mañana. Parece que pasó gran parte del tiempo fuera del hospital. Y por tanto, no ha aprendido nada que no supiera ya.;;;;;;;;;x
damaged_hospital;Infrastructure Damaged;Hôpital endommagé;Hospital beschädigt;;Hospital dañado;;;;;;;;x
RIP.13402.d3;Despite the widespread condemnation of the Jews, I am still not sure they are to blame for the recent epidemic. However, as [Root.GetTitle] I need to make a decision.;Malgré les condamnations très répandues des juifs, je n'ai pas la conviction qu'ils sont à blâmer pour la récente épidémie. Cependant, en tant qu[Root.Get_only_e_Title][Root.GetTitle], je dois prendre une décision.;Trotz der weit verbreiteten Schuldigsprechung der Juden bin ich mir noch immer nicht sicher, dass sie für die Epidemie verantwortlich sind. Als [Root.GetTitle] muss ich jedoch eine Entscheidung treffen.;;A pesar de la condena generalizada de los judíos, todavía no estoy seguro de que sean culpables de la reciente epidemia. Sin embargo, como [Root.GetTitle], tengo que tomar una decisión.;;;;;;;;;x
set_crown_focus_named;Set Crown Focus in [Root.GetName];Établir l'intérêt de la Couronne à [Root.GetName];Kronenfokus in [Root.GetName] festlegen;;Establecer el Foco de Corona en [Root.GetName];;;;;;;;;x
c_lincoln_adj_saxon;Lindsian;lindsienne;Lindsianisch;;lindsiano;;;;;;;;;x
c_lancaster_adj_saxon;Amoundern;amoundernoise;Amounderisch;;amoundernés;;;;;;;;;x
c_galloway_adj_saxon;Rhinnic;rhinnienne;Rhinnisch;;rínico;;;;;;;;;x
d_galloway_adj_saxon;Deiran;deirienne;Deiranisch;;deirano;;;;;;;;;x
RIP.11062.d;[From.GetTitledName] has informed me that my recent ailment is in fact Leprosy. [From.GetSheHeCap] was very sorry, but there is nothing [From.GetSheHe] can do.;[From.Get_Le_TitledName] m'a informé[Root.Get_E] que ma récente affection est en fait la lèpre. [From.GetIlElleCap] est vraiment désolé[From.Get_E], mais il n'y a rien qu'[From.GetIlElle] puisse faire.;[From.GetTitledName] hat mir bestätigt, dass es sich bei meinem derzeitigen Leiden tatsächlich um Lepra handelt. [From.GetSheHeCap] ist untröstlich, kann aber leider nichts für mich tun.;;[From.GetTitledName] me ha informado que mi dolencia reciente es en realidad la lepra. Que lo sentía mucho, pero nada puede hacer.;;;;;;;;;x
RIP.5041.d;I can no longer bear the revulsion of the faces of the people I meet. Although most try to hide their reaction, I have grown to recognize even the slightest flinch when their gaze tracks over my face.\nNo more! I will accept that I am disfigured and don a mask.;Je ne peux plus supporter les regards de dégoût des gens que je rencontre. Bien que la plupart essaient de cacher leur réaction, j'ai appris à reconnaître le moindre tressaillement lorsque leurs regards se portent sur mon visage. \nC'est est assez ! Je vais accepter d'être défiguré[Root.Get_E] et porter un masque.;Ich kann den Ekel in den Gesichtern der Menschen, denen ich begegne, einfach nicht mehr ertragen. Die meisten versuchen zwar, keine Reaktion zu zeigen, doch mittlerweile erkenne ich selbst das kleinste Zucken, wenn ihre Blicke über mein Gesicht gleiten.\nSchluss damit! Ich werde akzeptieren, dass ich entstellt bin, und fortan eine Maske tragen.;;Ya no soporto la repulsión de las caras de la gente que conozco. Aunque la mayoría trata de ocultar su reacción, he llegado a reconocer hasta el más mínimo vacile cuando sus miradas me recorren el rostro.\n¡Basta! Reconoceré que estoy desfigurado y me pondré una máscara;;;;;;;;;x
TOG.3404.d;The recent influx of looted treasure has encouraged buying and investment in [Root.Capital.GetName], which in turn has attracted more warriors who are hungry for gold.;Le récent flux de trésors pillés a encouragé les achats et l'investissement à [Root.Capital.GetName], qui à son tour a attiré plus de guerriers assoiffés d'or.;Die derzeitigen Mehreinnahmen durch geplünderte Schätze fördern Kaufkraft und Investitionen in [Root.Capital.GetName], was wiederum weitere Krieger anlockt, die nach Gold dürsten.;;El influjo reciente del tesoro saqueado ha animado las compras y la inversión en [Root.Capital.GetName], lo que a su vez ha atraído más guerreros hambrientos de oro.;;;;;;;;;x
loot_prosperity_boost;Influx of Loot;Flux de butins;Mehreinnahmen durch Beute;;Influjo del botín;;;;;;;;;x
loot_prosperity_boost_desc;The additional wealth brought in by raiding has led to an increase in spending and investment here.;La richesse supplémentaire apportée par le pillage a conduit à une augmentation des dépenses et des investissements.;Der zusätzliche Reichtum durch Raubzüge lässt die Bevölkerung mehr Geld ausgeben und investieren.;;La riqueza adicional conseguida en los asaltos ha llevado a un aumento de los gastos y la inversión aquí.;;;;;;;;;x
